dataset,result_file,method,model,variant,top_m,filing_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,10-K,78,0.21794871794871795,0.44871794871794873,0.3019230769230769,0.8333333333333334,8.974358974358975e-05,8.974358974358975e-05,8.974358974358975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,21.794871794871796,44.871794871794876,30.19230769230769,83.33333333333334
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,10-Q,12,0.16666666666666666,0.25,0.19444444444444442,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,19.444444444444443,66.66666666666666
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,8-K,9,0.3333333333333333,0.6666666666666666,0.43333333333333335,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,66.66666666666666,43.333333333333336,88.88888888888889
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,Earnings Report,12,0.08333333333333333,0.4166666666666667,0.18333333333333335,0.6666666666666666,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.333333333333332,41.66666666666667,18.333333333333336,66.66666666666666
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,10-K,78,0.16666666666666666,0.46153846153846156,0.2764957264957265,0.8461538461538461,0.00034615384615384613,0.00034615384615384613,0.00034615384615384613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,16.666666666666664,46.15384615384615,27.64957264957265,84.61538461538461
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,10-Q,12,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.0004166666666666667,0.0004166666666666667,0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,33.33333333333333,25.0,66.66666666666666
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,8-K,9,0.3333333333333333,0.8888888888888888,0.6111111111111112,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,88.88888888888889,61.111111111111114,88.88888888888889
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,Earnings Report,12,0.16666666666666666,0.25,0.20833333333333334,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,20.833333333333336,75.0
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,10-K,78,0.15384615384615385,0.4358974358974359,0.25726495726495724,0.8461538461538461,0.00020512820512820514,0.00020512820512820514,0.00020512820512820514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,15.384615384615385,43.58974358974359,25.726495726495724,84.61538461538461
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,10-Q,12,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,8.333333333333333e-05,8.333333333333333e-05,8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,33.33333333333333,25.0,66.66666666666666
